2025-04-18 12:56:23 | INFO | reader_new.py:295 | Path is is there for given book
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:25 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:26 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:27 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:27 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:27 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:27 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:27 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:27 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:27 | INFO | reader_new.py:312 | Total Chunks 33
2025-04-18 12:56:27 | INFO | reader_new.py:207 | Loading chunk from state
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
2025-04-18 12:56:27 | WARNING | audio_module.py:40 | [Audio] Error getting audio, error : 'Audio' object has no attribute 'client'
