2025-04-01 00:03:17 | INFO | api_module.py | 200 : Input_Tokens=542 | Output_Tokens=47  | Time=0.138311686
2025-04-01 00:03:21 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=617  | Time=1.038104141
2025-04-01 00:03:24 | INFO | api_module.py | 200 : Input_Tokens=551 | Output_Tokens=111  | Time=0.165989809
2025-04-01 00:03:27 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=1061  | Time=1.6395986040000001
2025-04-01 00:03:30 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=459  | Time=0.82912226
2025-04-01 00:03:32 | INFO | api_module.py | 200 : Input_Tokens=4797 | Output_Tokens=576  | Time=0.948304547
2025-04-01 00:03:36 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=474  | Time=0.995115294
2025-04-01 00:03:40 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=725  | Time=1.221320683
2025-04-01 00:03:45 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=687  | Time=1.143640185
2025-04-01 00:03:48 | INFO | api_module.py | 200 : Input_Tokens=7213 | Output_Tokens=564  | Time=0.945470228
2025-04-01 00:03:51 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=676  | Time=1.204990219
2025-04-01 00:03:53 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=763  | Time=1.315252303
2025-04-01 00:03:56 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=385  | Time=0.760176486
2025-04-01 00:04:02 | INFO | api_module.py | 200 : Input_Tokens=8036 | Output_Tokens=374  | Time=1.078666996
2025-04-01 00:04:04 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=430  | Time=0.78918789
2025-04-01 00:04:06 | INFO | api_module.py | 200 : Input_Tokens=2303 | Output_Tokens=635  | Time=0.93877951
2025-04-01 00:04:11 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=875  | Time=1.459431835
2025-04-01 00:04:14 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=414  | Time=0.806163551
2025-04-01 00:04:16 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=803  | Time=1.286217718
2025-04-01 00:04:20 | INFO | api_module.py | 200 : Input_Tokens=8036 | Output_Tokens=479  | Time=0.946564729
2025-04-01 00:04:23 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=610  | Time=1.065655987
2025-04-01 00:04:26 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=654  | Time=1.086750146
2025-04-01 00:04:28 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=366  | Time=0.738512883
2025-04-01 00:04:29 | INFO | api_module.py | 200 : Input_Tokens=2579 | Output_Tokens=276  | Time=0.461447332
2025-04-01 00:04:31 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=836  | Time=1.419181516
2025-04-01 00:04:32 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=610  | Time=1.109102844
2025-04-01 00:04:36 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=595  | Time=1.035379176
2025-04-01 00:04:38 | INFO | api_module.py | 200 : Input_Tokens=8036 | Output_Tokens=564  | Time=0.997137405
2025-04-01 00:04:43 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=802  | Time=1.35057862
2025-04-01 00:04:46 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=514  | Time=0.970848042
2025-04-01 00:04:48 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=597  | Time=1.012037604
2025-04-01 00:04:50 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=496  | Time=0.920849801
2025-04-01 00:04:53 | INFO | api_module.py | 200 : Input_Tokens=7701 | Output_Tokens=537  | Time=1.068067531
2025-04-01 00:04:55 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=458  | Time=0.859334636
2025-04-01 00:04:58 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=648  | Time=1.227613703
2025-04-01 00:05:03 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=575  | Time=1.070523048
2025-04-01 00:05:07 | INFO | api_module.py | 200 : Input_Tokens=8036 | Output_Tokens=738  | Time=1.618739305
2025-04-01 00:05:08 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=429  | Time=0.823663829
2025-04-01 00:05:11 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=812  | Time=1.43920266
2025-04-01 00:05:16 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=632  | Time=1.136690001
